building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt
yes,,,,,,10.5,default,166.7,"POLYGON ((380644.68965921365 4478014.253097841, 380648.3855686273 4478007.698802052, 380641.2642439139 4478003.715207862, 380644.1023875491 4477998.695724516, 380637.1778805383 4477994.820029329, 380630.6523190122 4478006.393682978, 380644.68965921365 4478014.253097841))"
yes,,,,,,10.5,default,122.7,"POLYGON ((380715.47372650343 4478017.055822424, 380722.9051422215 4478010.686336648, 380714.71221147216 4478001.201437287, 380707.280792568 4478007.570931046, 380715.47372650343 4478017.055822424))"
yes,,,,,,10.5,default,120.9,"POLYGON ((380917.5897833798 4477646.344934039, 380930.22182001034 4477638.893702927, 380926.00325265725 4477631.8103028275, 380913.3796888625 4477639.2614059495, 380917.5897833798 4477646.344934039))"
yes,,,,,,10.5,default,122.5,"POLYGON ((380942.3196726312 4477561.0122260805, 380951.2719503667 4477565.422241995, 380956.73028692097 4477554.432134989, 380947.769518538 4477550.022247221, 380942.3196726312 4477561.0122260805))"
yes,,,,,,10.5,default,174.9,"POLYGON ((380933.2241324896 4477470.210434453, 380940.34500624536 4477477.347633813, 380952.672670889 4477465.1380168935, 380945.54331691144 4477458.000940765, 380933.2241324896 4477470.210434453))"
yes,,,,,,10.5,default,165.6,"POLYGON ((380998.1670971412 4477432.915275582, 381007.6998803092 4477439.148167974, 381015.6936874383 4477427.00751315, 381006.16089640534 4477420.774610509, 380998.1670971412 4477432.915275582))"
yes,,,,,,10.5,default,114.8,"POLYGON ((380990.49833835434 4477394.497900957, 380998.8138636065 4477402.071405574, 381005.71891718335 4477394.55586831, 380997.40339126985 4477386.982356087, 380990.49833835434 4477394.497900957))"
yes,,,,,,10.5,default,138.0,"POLYGON ((381146.34015621437 4477349.420450914, 381158.7497039051 4477342.872524909, 381154.14096045337 4477334.185229293, 381141.7314017095 4477340.733162622, 381146.34015621437 4477349.420450914))"
yes,,,,,,10.5,default,81.6,"POLYGON ((380842.54515887646 4477892.097974167, 380847.776234725 4477877.513939674, 380842.81099756557 4477875.7498044865, 380837.579929831 4477890.333842592, 380842.54515887646 4477892.097974167))"
yes,,,,,,10.5,default,103.2,"POLYGON ((380833.48400480626 4477961.326394381, 380837.00573926885 4477950.211546847, 380828.56533287175 4477947.558946254, 380825.0436093187 4477958.673797957, 380833.48400480626 4477961.326394381))"
yes,,,,,,10.5,default,146.3,"POLYGON ((380676.3331428581 4478064.956939261, 380670.3577064115 4478053.0273529375, 380660.536010735 4478057.913842834, 380666.5199403835 4478069.8432865245, 380676.3331428581 4478064.956939261))"
