stakeholder,height_m,area_m2,euluc,function
unknown,20.033032999999993,416.49937331650324,,
resident,18.249966333333294,559.5077089090369,居住用地,
resident,9.320899666666667,53.17468658599549,居住用地,
resident,23.95996633333337,930.0639927508807,居住用地,Public service
resident,9.016832999999997,272.6708781324245,居住用地,
state,22.278633000000035,328.21204834114843,公园与绿地用地,
resident,14.78589966666664,279.37403777897157,,Residence
resident,15.243366333333336,407.0916816563049,,
resident,10.254232999999983,78.93897533749539,居住用地,
resident,10.28049966666667,147.8477843669927,居住用地,
resident,15.072899666666643,332.6870960484849,,Residence
resident,18.613633000000025,336.3899712827965,,Residence
state,10.31029966666668,464.17009893895585,交通场站用地,
resident,16.683099666666664,302.81965350366784,居住用地,Residence
state,8.122899666666667,102.47953444522149,交通场站用地,
resident,10.383033,24.686367244675182,,
state,17.547632999999976,474.3996549445132,交通场站用地,
resident,11.034366333333335,26.974633194044294,,
resident,11.034366333333335,26.974633194044294,,
developer,9.941099666666664,30.96563176833643,商务办公用地,
developer,19.91923300000001,322.72382121916405,商务办公用地,
resident,23.118899666666668,297.4661972414247,居住用地,Residence
developer,28.047433,918.8680631109406,商务办公用地,Residence
resident,15.46696633333332,395.6274965982153,居住用地,Residence
developer,18.99663300000001,107.85340124696833,,
developer,16.336566333333327,74.04398689659197,商务办公用地,
developer,16.097499666666664,104.6352453619173,商务办公用地,
developer,14.34123299999998,469.01796994864713,商务办公用地,Residence
developer,22.43449966666667,197.9052283918306,商务办公用地,
resident,17.484499666666657,102.754996232618,居住用地,
resident,20.458833000000016,246.2138309140139,居住用地,Residence
resident,29.116833000000057,520.8949205636713,居住用地,
resident,27.51803300000004,49.56427369527056,居住用地,
resident,29.420433000000045,66.2034968385326,居住用地,
resident,15.393233000000002,369.0234028277404,居住用地,
resident,26.725833000000005,481.0489404021398,居住用地,
developer,16.336566333333327,74.04398689659197,商务办公用地,
resident,18.011299666666666,418.62129697641194,居住用地,Residence
resident,21.972033000000003,616.5103609029453,居住用地,Residence
resident,21.44429966666668,264.7577852182502,居住用地,
resident,16.269833,215.7322864957816,居住用地,
resident,16.21476633333333,328.023198034907,居住用地,Residence
resident,13.473899666666663,263.00972385560823,居住用地,
resident,17.83396633333333,408.1484986387547,居住用地,Residence
resident,15.457566333333364,382.92482728094177,居住用地,Residence
resident,16.090366333333325,294.6174033678473,居住用地,Residence
resident,14.035633,384.5624437201161,居住用地,Residence
resident,16.95296633333333,471.16603952664957,居住用地,
resident,15.432366333333317,431.9757951949174,,Residence
resident,15.988233,218.95377272412222,居住用地,
resident,16.78429966666666,259.21680359926796,,
resident,16.378899666666655,371.0152360638738,居住用地,Residence
resident,17.87716633333333,429.2394077403901,居住用地,Residence
resident,15.947633000000028,446.58893143456044,居住用地,Residence
resident,15.34916633333336,398.80211083338946,居住用地,Residence
resident,15.640833000000033,368.891307875015,,Residence
resident,11.632499666666666,17.57875126135638,居住用地,
resident,16.89549966666666,487.686517256573,居住用地,Residence
resident,13.360099666666665,200.25474589939267,居住用地,Residence
resident,12.565632999999996,94.51638361481315,居住用地,
