stakeholder,height_m,area_m2,euluc,function
resident,11.438166333333328,447.21767133240104,居住用地,Residence
resident,13.039766333333324,334.4276365391314,居住用地,Residence
resident,13.765899666666664,271.4590678784363,居住用地,Residence
resident,20.40016633333332,104.44930975543278,居住用地,Residence
resident,18.345033,32.99250092686775,居住用地,Residence
resident,10.880366333333333,71.85104860161093,居住用地,
resident,15.200166333333335,73.95865771642427,居住用地,
resident,25.635632999999995,62.26338353408932,居住用地,
resident,19.930033,304.69443411222704,居住用地,
resident,15.292166333333334,187.775918498777,居住用地,Residence
resident,79.36736633333338,429.1286955282162,居住用地,
resident,76.76709966666678,238.88226286911282,居住用地,Residence
resident,71.67289966666664,599.0239878094902,居住用地,Residence
resident,80.47276633333342,429.39349346240635,居住用地,
resident,76.73063300000005,239.9098091470143,居住用地,Residence
resident,68.87329966666667,81.58278720637226,居住用地,Residence
resident,71.75036633333328,107.04899764795869,居住用地,Residence
resident,70.6117663333333,58.86999838493176,居住用地,Residence
unknown,21.644833,52.71222241718911,,
resident,20.973032999999965,387.1689234241604,居住用地,
resident,36.65456633333333,23.38978764961121,居住用地,
resident,21.266432999999964,385.7299528824673,居住用地,Residence
resident,38.14049966666668,24.66888997555874,居住用地,
resident,12.170032999999998,177.05809098835712,居住用地,
resident,12.635699666666666,112.19933848460494,居住用地,
resident,11.56416633333333,141.87486855114935,居住用地,Residence
resident,13.17576633333333,42.475526565599054,居住用地,
resident,15.235499666666668,362.0229046397145,居住用地,Residence
resident,14.581833000000005,60.87671048663414,居住用地,Residence
resident,10.674899666666668,466.95003625541284,居住用地,Residence
resident,18.19549966666666,20.78739791744189,居住用地,
resident,12.275232999999997,165.25039380782187,居住用地,
resident,19.063433000000007,36.93230072881369,居住用地,
resident,13.014766333333332,105.59825412568044,居住用地,
resident,21.78729966666668,57.999226110856064,居住用地,Residence
resident,12.741766333333327,137.91758866066215,居住用地,Residence
resident,12.029832999999998,120.36796171020904,居住用地,
resident,11.418499666666673,164.74085392116044,居住用地,Business
resident,11.820899666666664,136.35776966641342,居住用地,Public service
resident,12.596633,39.28114023806054,居住用地,Residence
resident,10.181099666666668,130.01935626143012,居住用地,Residence
resident,41.88596633333335,26.226881301319658,居住用地,
resident,18.44136633333333,598.1720490890156,居住用地,
resident,22.85309966666664,386.57458800632287,居住用地,Residence
resident,34.31456633333332,23.79138696136924,居住用地,
resident,25.68363300000001,47.5269519250189,居住用地,
resident,19.38763300000002,387.94714929398253,居住用地,Residence
resident,14.534966333333337,203.69449311957842,居住用地,Residence
resident,28.871233,19.31425802214182,居住用地,
resident,16.39076633333333,28.759564399240883,居住用地,Residence
state,16.240699666666675,27.06272961582472,教育科研用地,Residence
resident,9.672232999999999,91.40946893599495,居住用地,Residence
resident,15.04796633333333,44.04616008126766,居住用地,Residence
resident,11.634099666666668,38.891908927239,居住用地,
resident,12.489566333333332,125.56290980885042,居住用地,Residence
unknown,14.706899666666665,16.472545199141937,,
resident,14.163233000000002,24.653245534534534,居住用地,
resident,12.198499666666672,43.88151988529553,居住用地,
resident,12.00216633333333,28.78677628531661,居住用地,
resident,16.27489966666666,17.818338131785737,居住用地,Business
resident,11.024566333333333,34.16405219948344,居住用地,
resident,9.977633000000003,155.43148914338084,居住用地,Residence
resident,10.546566333333338,83.32264191243604,居住用地,Residence
resident,12.23389966666667,134.67395685833355,居住用地,Residence
resident,11.049766333333332,261.8187490572811,居住用地,
resident,11.575966333333332,171.20691761409083,居住用地,
