building,amenity,office,shop,tourism,name,height_m,height_source,area_m2,wkt,stakeholder,scenario
commercial,,,,,,14.0,levels_x3.5,2251.4,"POLYGON ((372666.014737 148698.77993, 372662.778422 148702.086979, 372663.624377 148702.783065, 372658.105698 148703.117312, 372669.445238 148753.645707, 372679.480466 148751.429942, 372679.859557 148753.099113, 372683.186092 148752.367903, 372682.773549 148750.543975, 372693.707819 148743.596127, 372712.801904 148721.354994, 372718.993743 148709.147057, 372720.996592 148709.245616, 372721.294235 148703.319844, 372721.845247 148691.965808, 372717.138567 148691.769019, 372711.152283 148691.495444, 372701.282703 148691.046804, 372697.199117 148690.849723, 372682.355791 148690.149144, 372676.836837 148689.897461, 372668.436015 148689.52552, 372667.917991 148700.03934, 372666.014737 148698.77993), (372673.942727 148734.849611, 372678.17055 148734.173255, 372675.425541 148717.447895, 372670.819442 148718.19076, 372670.205717 148714.443305, 372675.557246 148713.578483, 372679.771765 148708.258914, 372680.091282 148701.526095, 372684.119234 148701.723202, 372683.931921 148705.647916, 372696.449723 148706.250087, 372701.145287 148706.468991, 372701.321603 148702.820664, 372704.871098 148702.995885, 372704.749912 148705.571823, 372679.528145 148734.471111, 372680.132491 148741.944201, 372674.522969 148738.375975, 372673.942727 148734.849611))",developer,current
yes,,,,,Khoo Teck Puat Building,12.0,default,2148.4,"POLYGON ((371095.948741 147432.589777, 371062.663491 147421.948098, 371060.863554 147427.476616, 371049.890944 147424.098848, 371051.523162 147416.834719, 371060.90423 147419.339865, 371062.325997 147414.110019, 371048.638101 147409.992821, 371047.92747 147413.143928, 371043.62037 147410.956998, 371019.319694 147458.727523, 371028.946962 147464.228549, 371026.991178 147469.602367, 371038.654034 147473.797903, 371042.729073 147455.76472, 371086.552683 147469.143157, 371095.948741 147432.589777), (371085.333882 147456.441144, 371049.689644 147445.568417, 371052.887403 147431.217077, 371088.954574 147442.332825, 371085.333882 147456.441144))",unknown,current
school,,,,,,12.0,default,13592.4,"POLYGON ((371248.634071 147440.068743, 371264.119946 147410.842213, 371257.531127 147407.097552, 371258.609511 147405.151306, 371249.984028 147400.423677, 371248.972348 147402.248283, 371220.758418 147386.25342, 371207.661775 147409.044625, 371199.993422 147404.802982, 371219.149087 147371.207864, 371226.036091 147370.187536, 371273.287641 147290.765921, 371280.733337 147294.7534, 371274.741195 147305.822603, 371279.315458 147308.274739, 371277.269863 147311.968181, 371320.64209 147335.661502, 371337.96294 147304.377836, 371294.590714 147280.684509, 371292.534002 147284.400067, 371289.796121 147282.930993, 371287.300845 147276.80751, 371301.884967 147270.200629, 371299.033587 147263.977815, 371284.71645 147270.462961, 371282.566493 147265.168466, 371282.622127 147265.16844, 371282.487121 147262.006678, 371282.41571 147252.101132, 371222.999237 147253.400396, 371214.020351 147254.333261, 371185.246374 147254.158838, 371179.48712 147263.580691, 371180.544462 147264.210348, 371173.851269 147275.147222, 371170.568714 147274.82816, 371169.484653 147288.371458, 371172.911887 147288.756784, 371172.436288 147294.826388, 371169.342821 147294.363518, 371168.877881 147299.438136, 371171.971129 147299.436682, 371171.506116 147304.356526, 371158.198186 147303.754738, 371156.635347 147316.601776, 371166.015514 147317.194354, 371165.73934 147321.439734, 371175.620222 147322.054188, 371175.27788 147327.559907, 371185.370181 147328.196372, 371185.105139 147332.452802, 371193.99571 147333.012445, 371193.653274 147338.319167, 371204.112769 147338.977571, 371203.836631 147343.300338, 371214.607685 147343.980706, 371198.898477 147371.526933, 371191.964606 147367.528161, 371192.893321 147354.90253, 371183.813501 147354.14398, 371184.245403 147349.79903, 371174.609244 147349.040742, 371175.052221 147344.585233, 371165.416108 147343.926443, 371165.736435 147338.92928, 371156.434131 147338.281388, 371156.643393 147333.715435, 371134.967481 147331.768833, 371133.327157 147345.467169, 371119.219176 147370.812642, 371126.364371 147374.623373, 371128.204998 147384.627589, 371125.903645 147388.652816, 371164.679611 147410.380425, 371165.88054 147408.754726, 371176.062165 147410.054467, 371175.848428 147428.760198, 371182.202281 147429.730079, 371182.315494 147433.864722, 371193.921503 147435.495453, 371194.79586 147425.58946, 371189.643851 147424.939618, 371189.876728 147423.270152, 371190.109569 147421.5233, 371191.717452 147409.825997, 371193.674124 147406.33159, 371205.471586 147412.848691, 371203.592807 147416.354116, 371205.440368 147417.447726, 371233.965329 147432.336905, 371231.430632 147437.036615, 371241.63629 147442.128325, 371244.093079 147437.384431, 371248.634071 147440.068743), (371280.252147 147265.224829, 371282.747423 147271.348313, 371279.988566 147272.598861, 371282.839947 147278.821675, 371285.331818 147277.692861, 371287.325808 147282.578382, 371283.568213 147289.522896, 371267.497084 147280.918337, 371266.877889 147265.540658, 371280.252147 147265.224829), (371213.746211 147262.912331, 371223.316977 147266.578207, 371264.563543 147265.597022, 371264.770771 147280.388962, 371254.242044 147274.468247, 371231.762181 147313.880021, 371234.369166 147297.251571, 371210.211894 147295.118186, 371210.675822 147287.887778, 371201.228666 147286.808794, 371201.849746 147282.507976, 371191.623647 147281.285638, 371192.400496 147276.973692, 371175.308952 147275.301312, 371181.679717 147264.895246, 371203.961873 147278.328066, 371213.746211 147262.912331), (371180.181549 147296.978539, 371174.606516 147295.897736, 371174.892566 147288.988015, 371178.77603 147289.439459, 371222.571998 147315.045149, 371222.460829 147315.255253, 371218.59203 147322.332486, 371210.222226 147317.107245, 371207.287065 147322.028249, 371216.424545 147327.098354, 371214.723596 147330.183592, 371174.455729 147306.510931, 371178.784052 147306.508896, 371180.181549 147296.978539), (371225.1875 147316.547446, 371238.498741 147324.202539, 371229.437711 147339.750598, 371216.12647 147332.095506, 371225.1875 147316.547446), (371181.221814 147379.627751, 371176.903497 147377.241829, 371172.245271 147385.535523, 371176.674887 147387.987725, 371172.828236 147394.832788, 371142.165933 147377.844099, 371143.433326 147375.588214, 371133.071579 147369.844312, 371145.867801 147347.05324, 371186.791678 147369.71955, 371181.221814 147379.627751), (371176.932732 147392.089134, 371189.339775 147369.851016, 371197.230716 147374.203109, 371184.834796 147396.430165, 371176.932732 147392.089134))",state,current
yes,,,,,,12.0,default,5935.6,"POLYGON ((372652.149792 148197.418129, 372652.568023 148211.413926, 372673.196641 148210.785187, 372673.366435 148216.976068, 372653.351057 148220.324121, 372654.549383 148236.939656, 372714.198731 148234.988154, 372714.555901 148237.375928, 372721.532177 148237.018899, 372719.321228 148220.19379, 372710.79772 148219.224907, 372709.109515 148178.133204, 372738.448585 148173.741607, 372783.579038 148174.903448, 372783.808513 148165.937507, 372777.866782 148165.785507, 372778.304067 148149.113938, 372782.710292 148149.222433, 372782.917953 148141.196202, 372740.880759 148140.121355, 372740.826014 148142.022889, 372734.060895 148141.849163, 372733.601762 148159.383057, 372675.235133 148168.099777, 372668.474291 148153.266742, 372641.661017 148157.745608, 372646.715371 148187.603575, 372655.415777 148186.151266, 372672.4607 148183.600584, 372672.822924 148196.800426, 372652.149792 148197.418129), (372678.931401 148196.620686, 372678.648542 148186.582619, 372691.380699 148193.442002, 372692.703718 148191.17505, 372698.71314 148193.316967, 372705.467311 148193.877631, 372705.546102 148195.812269, 372678.931401 148196.620686), (372679.463393 148215.956132, 372679.316245 148210.605442, 372696.695911 148210.077722, 372696.631864 148215.881776, 372706.378906 148215.987774, 372706.491454 148218.729432, 372679.463393 148215.956132))",unknown,current
yes,,,,,,12.0,default,2679.4,"POLYGON ((372698.594336 147819.526794, 372699.001331 147809.45524, 372708.381329 147809.826748, 372708.341429 147819.710191, 372719.279352 147820.478963, 372718.706204 147832.15361, 372728.308694 147832.436572, 372727.801342 147842.04385, 372736.892178 147842.702931, 372737.611139 147833.526711, 372740.403095 147831.701288, 372744.143572 147835.778944, 372752.663175 147828.345825, 372747.420215 147823.461833, 372749.355311 147821.415704, 372760.437726 147821.852752, 372760.822758 147812.400306, 372751.687548 147812.028682, 372752.105548 147801.691798, 372741.434826 147801.265613, 372741.841823 147791.194061, 372732.061252 147790.800627, 372732.501325 147780.076797, 372723.021181 147779.694278, 372723.373203 147771.037827, 372712.491066 147770.600686, 372711.951986 147783.756725, 372657.376426 147833.663608, 372663.310018 147840.20557, 372668.18149 147835.847517, 372668.148574 147836.842508, 372678.307463 147837.257872, 372678.681427 147827.938092, 372687.527333 147828.287738, 372687.901359 147819.100622, 372698.594336 147819.526794), (372723.182306 147791.180643, 372727.555189 147791.35549, 372727.368105 147795.799801, 372723.182306 147791.180643), (372721.72704 147796.189364, 372729.452948 147804.698333, 372723.380289 147810.129307, 372715.665502 147801.609278, 372721.72704 147796.189364), (372733.223767 147802.253359, 372739.054275 147802.482803, 372738.812253 147808.419603, 372733.223767 147802.253359), (372725.228442 147812.527442, 372731.901789 147806.76453, 372739.661247 147815.638307, 372737.89281 147817.16476, 372735.610617 147814.556777, 372730.694581 147818.793241, 372725.228442 147812.527442), (372748.405718 147813.213126, 372748.174638 147818.751931, 372742.953524 147812.994561, 372748.405718 147813.213126))",unknown,current
school,,,,,,12.0,default,6629.3,"POLYGON ((371831.075758 147818.727477, 371830.98608 147817.312439, 371831.174415 147815.56561, 371830.672918 147813.874383, 371829.559599 147812.504046, 371828.00146 147811.664573, 371826.232219 147811.477463, 371824.53006 147811.975751, 371823.150862 147813.08193, 371822.305955 147814.63007, 371822.117625 147816.387954, 371822.619118 147818.068126, 371823.732436 147819.438463, 371825.29058 147820.288991, 371825.313093 147820.841746, 371793.791308 147821.486694, 371793.518055 147808.253608, 371831.548927 147807.472944, 371830.990822 147779.989693, 371831.124338 147779.978576, 371830.839717 147766.225897, 371747.356474 147767.923369, 371747.641099 147781.676051, 371787.207462 147780.872552, 371787.924838 147815.795959, 371783.685588 147815.886392, 371775.207082 147816.056202, 371775.58288 147834.407851, 371784.061386 147834.238041, 371784.437112 147852.434915, 371780.56504 147852.514121, 371780.314407 147840.065952, 371765.17104 147840.371556, 371765.949752 147840.028475, 371767.128616 147838.811837, 371767.750972 147837.230634, 371767.716798 147835.539187, 371767.026207 147833.980711, 371765.801714 147832.809423, 371764.210298 147832.191072, 371762.507921 147832.225038, 371760.939371 147832.911204, 371759.760507 147834.127842, 371759.582692 147834.581194, 371758.803824 147834.592615, 371753.272402 147831.555, 371740.353112 147829.151007, 371731.184959 147829.774411, 371718.179635 147833.716213, 371716.94401 147832.533874, 371715.36372 147831.915518, 371713.650216 147831.949489, 371712.092793 147832.635651, 371710.913928 147833.85229, 371710.291573 147835.433493, 371710.325753 147837.135996, 371711.005212 147838.683421, 371712.051594 147839.677908, 371712.564129 147864.861684, 371785.733183 147863.865504, 371786.735243 147912.64109, 371796.660208 147912.437432, 371796.307205 147895.246582, 371790.910784 147895.359669, 371790.398451 147870.596001, 371803.18297 147870.346781, 371803.105867 147872.01617, 371804.643305 147876.161192, 371807.660179 147879.410038, 371811.70006 147881.265434, 371816.139715 147881.440235, 371820.311529 147879.912643, 371823.581386 147876.915117, 371825.448801 147872.912216, 371825.569773 147869.883003, 371831.389009 147869.769718, 371831.013249 147851.495459, 371828.865807 147851.540688, 371824.515285 147851.620118, 371793.905887 147852.242529, 371793.368352 147844.890996, 371789.652142 147845.158069, 371789.492734 147837.419422, 371794.121415 147837.317751, 371794.053114 147834.034355, 371831.538782 147833.276054, 371831.276978 147820.728394, 371831.075758 147818.727477), (371822.279728 147782.44806, 371820.499484 147782.526283, 371818.886458 147783.278801, 371817.685381 147784.583892, 371817.074193 147786.253531, 371817.15291 147788.022345, 371817.910281 147789.62501, 371819.223798 147790.818368, 371820.893096 147791.425627, 371822.67334 147791.347404, 371824.152865 147790.63917, 371824.20977 147793.347695, 371793.222087 147794.036611, 371793.142368 147790.134122, 371793.57656 147790.664573, 371795.101314 147791.493006, 371796.826049 147791.680137, 371798.483706 147791.192925, 371799.840667 147790.119923, 371800.663336 147788.604958, 371800.851691 147786.902351, 371800.372463 147785.244279, 371799.281414 147783.907098, 371797.767786 147783.078659, 371796.043052 147782.891528, 371794.385394 147783.37874, 371793.028434 147784.451743, 371792.948814 147780.759304, 371823.936498 147780.07039, 371824.026934 147783.099504, 371822.279728 147782.44806))",state,current
school,,,,,,12.0,default,18058.3,"POLYGON ((371248.092074 148883.398342, 371270.501445 148883.697252, 371288.549108 148883.931903, 371312.916791 148884.251998, 371312.949143 148882.085137, 371322.039733 148882.202432, 371322.287035 148864.049457, 371318.770964 148863.995849, 371318.99671 148847.313243, 371316.93825 148847.281054, 371317.112822 148839.995506, 371288.116244 148839.312777, 371288.257734 148832.657398, 371287.321599 148829.518128, 371285.451029 148826.821513, 371282.824178 148824.832799, 371279.697059 148823.761916, 371276.403521 148823.708202, 371273.255119 148824.682565, 371270.563353 148826.58536, 371268.595171 148829.217464, 371267.56186 148832.324504, 371267.431429 148838.836158, 371253.033282 148838.500276, 371252.575202 148834.531628, 371247.229818 148824.938133, 371238.603361 148818.110029, 371227.987019 148815.07485, 371217.027778 148816.31825, 371207.372296 148821.629396, 371202.946477 148827.14811, 371201.655771 148827.137668, 371201.6772 148825.40197, 371198.01648 148825.348431, 371198.457597 148793.586236, 371199.502964 148792.435984, 371188.29357 148782.380947, 371186.358521 148784.493436, 371179.546059 148778.383067, 371175.787181 148782.508493, 371173.44957 148780.409088, 371169.846393 148784.379666, 371172.184004 148786.47907, 371169.047898 148789.91877, 371178.019865 148797.962797, 371177.557295 148831.405416, 371194.358767 148831.6296, 371194.251468 148839.987486, 371186.885526 148839.891486, 371186.928526 148836.718583, 371166.065766 148836.429997, 371166.056956 148817.879142, 371174.568905 148817.8751, 371174.558848 148796.693076, 371168.005202 148796.696187, 371167.997046 148779.516195, 371158.917632 148779.520505, 371158.911344 148766.276212, 371148.107285 148766.281341, 371148.11298 148778.276382, 371107.076881 148776.814454, 371107.081486 148786.509986, 371081.378728 148786.522196, 371080.233785 148742.013933, 371045.621034 148747.35905, 371024.42995 148758.634514, 371006.326314 148734.321359, 371025.612906 148719.210595, 370974.662843 148694.316056, 370959.34231 148696.412797, 370966.253028 148792.159865, 370985.055388 148788.303664, 370986.237771 148771.100985, 371001.465919 148785.33303, 370983.676658 148813.775836, 371028.735864 148828.579628, 371038.18444 148809.327783, 371007.240544 148785.00968, 371023.055583 148769.889507, 371047.80708 148758.313856, 371060.352265 148792.988506, 371076.740528 148789.995777, 371076.741511 148792.063125, 371105.760035 148792.049339, 371105.761364 148794.84634, 371102.36771 148794.847952, 371102.381812 148824.531537, 371126.070627 148824.520283, 371126.056931 148795.687961, 371137.550847 148795.682502, 371137.561396 148817.892676, 371146.985738 148817.888199, 371146.994423 148836.173727, 371134.231973 148835.991849, 371134.317751 148829.181719, 371125.394049 148829.053294, 371125.297149 148835.874485, 371108.773841 148835.650173, 371108.55874 148851.293583, 371186.713415 148852.350934, 371186.778133 148848.050377, 371194.132949 148848.146382, 371194.089812 148851.031846, 371198.629544 148851.084967, 371198.68544 148851.637707, 371204.041953 148861.231197, 371212.668412 148868.059299, 371223.284748 148871.08342, 371234.243986 148869.840019, 371243.899471 148864.539928, 371250.782842 148855.95772, 371251.615966 148853.049771, 371285.675258 148853.840645, 371285.271534 148870.622835, 371248.27493 148870.131851, 371248.092074 148883.398342), (371290.203888 148853.94905, 371307.5729 148854.349855, 371307.347097 148870.910853, 371289.800137 148870.675963, 371290.203888 148853.94905))",state,current
yes,,,,,,12.0,default,424.6,"POLYGON ((373218.424132 149015.31011, 373211.235633 149013.854178, 373209.104137 149024.158685, 373216.292642 149025.625671, 373215.015969 149031.806163, 373231.729791 149035.203364, 373236.259191 149013.245485, 373219.545368 149009.848283, 373218.424132 149015.31011), (373220.951046 149017.796362, 373225.034915 149018.623596, 373223.336381 149026.838455, 373219.252507 149026.000165, 373220.951046 149017.796362))",unknown,current
commercial,,,,,,14.0,levels_x3.5,1829.6,"POLYGON ((372699.677716 148637.716861, 372674.731139 148636.556693, 372674.180205 148648.076559, 372672.077214 148647.978047, 372671.933967 148650.963042, 372674.003572 148651.050514, 372673.166252 148668.77253, 372670.16198 148668.63022, 372670.007652 148671.714717, 372673.000793 148671.845977, 372672.449912 148683.476396, 372677.123191 148683.628979, 372682.642146 148683.880663, 372697.46325 148684.647584, 372711.427579 148685.370687, 372717.424985 148685.633202, 372722.966166 148685.8296, 372723.494971 148674.575073, 372726.465858 148674.706344, 372726.609121 148671.754516, 372723.582601 148671.623271, 372724.430957 148653.702257, 372727.457483 148653.844558, 372727.589645 148650.948011, 372724.56312 148650.805711, 372725.125002 148638.898906, 372699.677716 148637.716861), (372710.021383 148676.339178, 372706.037942 148676.153106, 372706.225215 148672.139949, 372698.080307 148671.767888, 372689.412428 148671.362905, 372689.225156 148675.376062, 372685.10819 148675.178997, 372686.430254 148647.153228, 372690.547216 148647.339238, 372690.393002 148650.666951, 372699.049754 148651.071939, 372707.205795 148651.455052, 372707.360003 148648.116283, 372711.343444 148648.302356, 372710.021383 148676.339178))",developer,current
commercial,,,,,,14.0,levels_x3.5,1988.4,"POLYGON ((372641.672526 148633.952088, 372616.392128 148632.758916, 372615.764019 148645.793395, 372612.058749 148645.618248, 372611.893467 148649.067575, 372615.598731 148649.231667, 372614.772381 148666.610967, 372611.055985 148666.435826, 372610.912795 148669.542429, 372614.595811 148669.717586, 372614.044943 148681.370118, 372664.739244 148683.745339, 372665.301122 148671.838532, 372666.714242 148671.904201, 372666.548892 148675.209809, 372669.842463 148675.363039, 372670.007652 148671.714717, 372670.16198 148668.63022, 372665.26613 148668.400354, 372666.103454 148650.689393, 372671.933967 148650.963042, 372672.077214 148647.978047, 372672.275588 148643.909609, 372669.460474 148643.778265, 372669.26221 148648.078865, 372668.171774 148648.035155, 372668.788862 148635.221789, 372641.672526 148633.952088), (372651.96101 148673.514136, 372648.099962 148673.328007, 372648.276195 148669.502795, 372640.0979 148669.119695, 372631.496781 148668.714683, 372631.309457 148672.617287, 372626.903191 148672.409304, 372628.236413 148644.460911, 372632.553666 148644.668937, 372632.388394 148648.140375, 372641.022894 148648.545372, 372649.16781 148648.928488, 372649.344173 148645.379658, 372653.294234 148645.565746, 372651.96101 148673.514136))",developer,current
