centroid_x,centroid_y,area_m2,height_m,height_developer_led,stakeholder
372688.483,148716.353,2251.400,14.000,22.949,developer
371055.109,147443.652,2148.400,12.000,11.679,unknown
371221.538,147338.455,13592.400,12.000,11.679,state
372703.740,148185.314,5935.600,12.000,11.679,unknown
372716.286,147810.678,2679.400,12.000,11.679,unknown
371782.522,147829.617,6629.300,12.000,11.679,state
371120.766,148800.961,18058.300,12.000,11.679,state
373223.767,149022.037,424.600,12.000,11.679,unknown
372699.044,148661.119,1829.600,14.000,22.949,developer
372641.406,148657.913,1988.400,14.000,22.949,developer
372295.212,148429.525,1428.000,12.000,11.679,unknown
370949.612,148206.265,5021.200,12.000,11.679,unknown
373181.215,147220.568,3007.900,14.000,12.191,informal
372884.361,147266.276,2432.300,14.000,12.191,informal
371873.527,147362.499,4002.900,14.000,12.191,informal
372837.936,148210.579,3252.900,12.000,11.679,unknown
372372.461,148966.292,2515.700,14.000,13.626,unknown
372619.951,148980.456,1570.600,10.500,10.219,unknown
372608.378,148928.493,2159.100,10.500,10.219,state
372045.554,147977.744,1634.800,14.000,13.626,unknown
371664.893,147469.434,3504.700,12.000,11.679,state
372198.987,147678.799,955.800,52.500,48.407,resident
372608.500,147897.538,1837.300,20.400,19.855,unknown
372367.302,146871.632,2139.200,24.500,23.845,unknown
373288.672,146745.266,3813.600,21.000,18.287,informal
371913.043,148801.215,1547.200,24.500,23.845,unknown
372610.290,147673.836,1312.400,12.000,11.679,unknown
373001.668,147565.276,2456.900,12.000,11.679,unknown
370697.851,148357.681,5263.000,14.000,13.626,unknown
371235.856,147527.473,8791.000,21.000,34.423,developer
371145.206,147570.031,2622.700,12.000,19.670,developer
372957.912,149011.902,6603.300,12.000,11.679,unknown
372916.838,148943.406,1938.700,12.000,11.679,unknown
372873.677,149030.861,688.500,12.000,11.679,unknown
373133.808,148949.208,4861.800,14.000,13.626,state
372951.190,148797.400,1641.600,12.000,11.679,unknown
372983.109,148674.873,1645.700,12.000,11.679,unknown
372967.336,148732.905,1569.100,12.000,11.679,unknown
373035.854,148746.649,1582.500,12.000,11.679,unknown
373050.918,148684.021,1610.500,12.000,11.679,unknown
373023.541,148652.803,163.600,12.000,11.679,unknown
373071.660,148631.884,978.300,12.000,11.679,unknown
372983.177,148620.393,1785.900,12.000,11.679,unknown
373036.156,148588.678,302.500,12.000,11.679,unknown
372338.667,147893.457,1277.500,12.000,11.064,resident
372333.633,147936.019,1722.600,42.000,38.726,resident
372144.218,147896.834,1215.100,66.500,61.316,resident
372292.189,147692.836,1216.000,42.000,38.726,resident
372358.256,147682.768,1262.200,42.000,38.726,resident
372100.963,147811.464,943.200,35.000,32.271,resident
372223.567,147813.531,1208.600,35.000,32.271,resident
372099.302,147846.433,1024.200,42.000,38.726,resident
372190.589,147846.021,1024.100,42.000,38.726,resident
372751.679,148868.267,939.900,0.000,3.000,resident
372668.954,148942.083,3136.100,17.500,17.032,unknown
372801.967,148800.646,1379.400,0.000,3.000,resident
372760.216,149032.366,923.000,0.000,3.000,resident
372776.330,148973.223,926.300,0.000,3.000,resident
372788.445,148739.318,1385.700,0.000,3.000,resident
372773.278,148918.243,837.200,14.000,12.909,resident
372703.197,148893.789,1132.000,14.000,12.909,resident
372718.133,148826.169,1296.900,0.000,3.000,resident
372545.221,148674.582,1794.700,35.000,32.271,resident
372442.866,148749.065,1121.600,12.000,11.064,resident
372431.110,148793.105,1651.200,31.500,29.044,resident
372597.078,148712.954,3257.400,10.500,10.219,unknown
372622.825,148864.770,1647.100,31.500,29.044,resident
372577.383,148756.378,1260.700,14.000,22.949,developer
372624.028,148816.722,1807.600,31.500,29.044,resident
372636.758,148746.321,898.500,3.500,5.737,developer
372434.687,148710.059,1118.000,45.500,41.953,resident
372404.937,148675.031,1631.900,31.500,29.044,resident
372229.083,148684.341,2122.900,17.500,17.032,unknown
372459.489,148853.364,1616.700,28.000,25.817,resident
372663.744,149033.168,2113.200,0.000,3.000,resident
372628.464,148569.232,1287.200,31.500,29.044,resident
372688.772,148599.514,1635.600,31.500,29.044,resident
372516.567,148606.220,1821.200,35.000,32.271,resident
372581.063,148616.022,1365.700,35.000,32.271,resident
372202.393,148858.996,1085.100,42.000,38.726,resident
372295.332,148827.433,1057.200,38.500,35.499,resident
372231.274,148759.889,778.400,14.000,12.909,resident
372258.889,148753.697,793.900,14.000,12.909,resident
372102.507,148774.670,425.700,14.000,12.909,resident
372365.579,148722.742,559.200,14.000,12.909,resident
372165.420,148756.942,958.500,45.500,41.953,resident
372173.102,148793.913,963.900,45.500,41.953,resident
372293.235,148749.461,910.300,45.500,41.953,resident
372245.261,148823.446,1097.000,38.500,35.499,resident
372375.308,148766.771,580.100,14.000,12.909,resident
372071.191,148982.090,944.100,10.500,10.219,unknown
371891.879,149012.425,1644.400,31.500,29.044,resident
371813.321,148955.472,1662.600,31.500,29.044,resident
371829.202,148851.747,1042.300,45.500,41.953,resident
371840.570,148767.266,693.100,14.000,12.909,resident
371836.424,148887.666,1024.300,45.500,41.953,resident
371935.264,148976.664,1279.300,42.000,38.726,resident
371927.523,148940.854,1289.800,42.000,38.726,resident
371820.440,148815.747,1039.200,45.500,41.953,resident
